City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Canaries,ES,28.0,-15.5,60.76,77,0,3.44,clear sky
1,Castro,BR,-24.7911,-50.0119,73.72,74,46,0.92,scattered clouds
2,Nanortalik,GL,60.1432,-45.2371,10.63,65,15,13.38,few clouds
3,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.9,86,100,5.23,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,77.77,74,100,13.2,light rain
5,Nikolskoye,RU,59.7035,30.7861,29.8,87,8,8.93,clear sky
6,Broken Hill,AU,-31.95,141.4333,87.21,37,17,12.91,few clouds
7,Geraldton,AU,-28.7667,114.6,63.01,82,0,9.22,clear sky
8,Narsaq,GL,60.9167,-46.05,-7.38,66,6,6.49,clear sky
9,Victoria,HK,22.2855,114.1577,64.33,72,100,5.99,overcast clouds
10,Provideniya,RU,64.3833,-173.3,-0.29,75,23,13.22,few clouds
11,Porto Velho,BR,-8.7619,-63.9039,78.85,83,75,2.3,heavy intensity rain
12,Begusarai,IN,25.4167,86.1333,54.45,56,11,2.84,few clouds
13,Inhambane,MZ,-23.865,35.3833,75.13,88,95,7.38,light rain
14,Cape Town,ZA,-33.9258,18.4232,74.37,67,0,13.0,clear sky
15,Naze,JP,28.3667,129.4833,54.52,66,21,9.55,few clouds
16,Hambantota,LK,6.1241,81.1185,72.57,84,100,7.34,overcast clouds
17,Jamestown,US,42.097,-79.2353,44.02,68,100,11.5,overcast clouds
18,Turiacu,BR,-1.6633,-45.3717,76.71,89,74,5.53,broken clouds
19,Ust-Ilimsk,RU,58.0006,102.6619,-25.74,97,45,3.2,scattered clouds
20,Bredasdorp,ZA,-34.5322,20.0403,67.5,86,15,13.33,few clouds
21,Albany,US,42.6001,-73.9662,43.66,74,100,7.7,overcast clouds
22,Busselton,AU,-33.65,115.3333,52.83,81,0,13.49,clear sky
23,Broome,US,42.2506,-75.833,45.66,75,100,5.75,overcast clouds
24,Avarua,CK,-21.2078,-159.775,82.45,83,75,10.36,broken clouds
25,Dhidhdhoo,MV,6.8833,73.1,79.74,71,74,5.97,broken clouds
26,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,20,6.91,few clouds
27,Vaini,TO,-21.2,-175.2,80.76,94,75,6.91,light rain
28,Yeppoon,AU,-23.1333,150.7333,71.38,71,20,12.66,few clouds
29,Yellowknife,CA,62.456,-114.3525,7.32,85,100,4.61,light snow
30,Kaitangata,NZ,-46.2817,169.8464,61.9,68,4,2.95,clear sky
31,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,77,3.56,light rain
32,Kapaa,US,22.0752,-159.319,79.12,71,0,1.01,clear sky
33,Letka,RU,59.6011,49.4232,32.23,97,100,9.44,snow
34,Hobart,AU,-42.8794,147.3294,72.27,75,0,1.14,clear sky
35,Nemuro,JP,43.3236,145.575,21.43,63,34,18.7,scattered clouds
36,Galesong,ID,-5.3166,119.3661,77.02,81,100,8.43,overcast clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,75,13.8,light snow
38,Saint George,US,37.1041,-113.5841,47.25,88,100,10.36,overcast clouds
39,Saskylakh,RU,71.9167,114.0833,-8.43,99,100,3.38,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,34,3.0,scattered clouds
41,Tautira,PF,-17.7333,-149.15,80.26,76,11,10.76,light rain
42,Codrington,AU,-38.2667,141.9667,65.21,85,32,7.76,scattered clouds
43,Upernavik,GL,72.7868,-56.1549,-18.71,69,23,6.46,few clouds
44,East London,ZA,-33.0153,27.9116,69.37,84,2,14.12,clear sky
45,Hithadhoo,MV,-0.6,73.0833,80.74,74,11,12.59,few clouds
