City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,PG,2022-12-15 22:37:13,-2.0226,147.2712,78.21,86,100,5.75
1,Punta Arenas,CL,2022-12-15 22:32:39,-53.15,-70.9167,55.51,76,75,9.22
2,Ushuaia,AR,2022-12-15 22:37:13,-54.8,-68.3,55.06,54,40,19.57
3,Mataura,NZ,2022-12-15 22:37:14,-46.1927,168.8643,63.48,64,100,2.71
4,Vaini,TO,2022-12-15 22:34:29,-21.2,-175.2,80.76,65,40,11.5
5,Albany,US,2022-12-15 22:34:15,42.6001,-73.9662,37.22,79,100,3.0
6,Tutoia,BR,2022-12-15 22:37:14,-2.7619,-42.2744,80.1,79,100,11.16
7,Quatre Cocos,MU,2022-12-15 22:37:15,-20.2078,57.7625,75.31,67,85,12.12
8,Agaro,ET,2022-12-15 22:37:15,7.85,36.65,60.46,86,85,0.85
9,Mexico,PH,2022-12-15 22:37:15,15.0646,120.7198,80.31,86,44,5.17
10,Port Alfred,ZA,2022-12-15 22:37:16,-33.5906,26.891,69.19,96,17,2.98
11,Hobart,AU,2022-12-15 22:36:17,-42.8794,147.3294,57.27,89,75,14.97
12,Shache,CN,2022-12-15 22:37:16,38.4167,77.2406,24.89,50,99,3.69
13,Nizhniy Kuranakh,RU,2022-12-15 22:37:16,58.8353,125.4869,-22.36,99,100,4.12
14,Dangara,IN,2022-12-15 22:37:17,29.6799,75.8931,53.17,26,0,6.76
15,Patitirion,GR,2022-12-15 22:37:17,39.15,23.8667,62.38,89,70,0.47
16,Aksu,CN,2022-12-15 22:37:17,41.1231,80.2644,22.24,57,0,4.21
17,Lonevag,NO,2022-12-15 22:37:17,60.5262,5.4937,29.01,79,48,5.99
18,Butaritari,KI,2022-12-15 22:34:29,3.0707,172.7902,81.34,75,63,7.36
19,Alofi,NU,2022-12-15 22:37:18,-19.0595,-169.9187,82.29,69,75,13.8
20,Tuktoyaktuk,CA,2022-12-15 22:34:57,69.4541,-133.0374,-11.2,84,20,6.91
21,Nikolskoye,RU,2022-12-15 22:37:18,59.7035,30.7861,17.49,98,100,2.55
22,Byron Bay,AU,2022-12-15 22:32:57,-28.65,153.6167,72.95,55,100,5.08
23,Roma,US,2022-12-15 22:37:19,43.2128,-75.4557,35.96,84,100,12.66
24,New Norfolk,AU,2022-12-15 22:37:19,-42.7826,147.0587,56.91,63,95,1.99
25,Sertania,BR,2022-12-15 22:37:19,-8.0736,-37.2644,84.78,31,91,5.17
26,Skibbereen,IE,2022-12-15 22:37:19,51.55,-9.2667,35.11,82,0,5.46
27,Hermanus,ZA,2022-12-15 22:37:20,-34.4187,19.2345,71.8,88,94,6.64
28,Perth,AU,2022-12-15 22:35:00,-31.9333,115.8333,65.03,66,0,17.27
29,Marfino,RU,2022-12-15 22:37:20,55.7028,37.3822,25.16,85,100,15.66
30,Cape Town,ZA,2022-12-15 22:37:20,-33.9258,18.4232,75.61,76,0,14.0
31,Hays,US,2022-12-15 22:37:21,30.0502,-98.0336,63.37,46,0,7.02
32,College,US,2022-12-15 22:37:21,64.8569,-147.8028,8.92,79,75,12.66
33,Kapaa,US,2022-12-15 22:37:21,22.0752,-159.319,80.92,72,0,13.8
34,Abong Mbang,CM,2022-12-15 22:37:22,3.9833,13.1833,69.24,59,14,1.92
35,Pisco,PE,2022-12-15 22:37:22,-13.7,-76.2167,77.05,69,0,8.05
36,Viedma,AR,2022-12-15 22:37:22,-40.8135,-62.9967,66.81,43,35,14.63
37,Puerto Ayora,EC,2022-12-15 22:37:23,-0.7393,-90.3518,78.76,91,86,5.99
38,Nanakuli,US,2022-12-15 22:37:23,21.3906,-158.1547,83.57,56,0,9.22
39,Shenjiamen,CN,2022-12-15 22:37:23,29.9576,122.298,55.11,65,96,16.08
40,Atuona,PF,2022-12-15 22:37:24,-9.8,-139.0333,78.28,73,4,16.89
41,Chuy,UY,2022-12-15 22:34:20,-33.6971,-53.4616,62.6,79,96,12.64
42,Padang,ID,2022-12-15 22:37:24,-0.9492,100.3543,73.45,81,82,4.03
43,Barsovo,RU,2022-12-15 22:37:24,61.1667,73.1667,-1.98,82,6,13.22
44,Avarua,CK,2022-12-15 22:34:35,-21.2078,-159.775,78.85,89,100,19.57
45,Saint-Pierre,RE,2022-12-15 22:37:25,-21.3393,55.4781,76.68,78,75,4.61
46,Hilo,US,2022-12-15 22:37:10,19.7297,-155.09,81.28,79,75,11.5
47,Boende,CD,2022-12-15 22:38:25,-0.2167,20.8667,70.21,95,91,1.12
48,Bintulu,MY,2022-12-15 22:38:17,3.1667,113.0333,75.61,100,40,5.01
